Age,Salary,Experience,Performance_Score,Gender,Department,Hired,Hiring_Date,Location
39.0,46945,17 years,9,,Marketing,Yes,2021-02-24,Austin
26.0,30321,2 years,10,,Engineering,,2012-05-20,New York
38.0,80266,22 years,10,Female,,,2018-11-12,Seattle
28.0,26650,5 years,7,,Sales,Yes,2014-10-20,New York
27.0,27102,4 years,3,M,Sales,Y,2013-07-19,Seattle
51.0,78418,25 years,9,,Engineering,Y,2023-01-23,Seattle
37.0,30562,,10,M,Marketing,,2021-06-14,New York
26.0,25959,2 years,5,,Sales,,2013-06-02,
27.0,36275,5 years,5,Male,Sales,Yes,2010-08-04,Austin
22.0,40111,0 years,9,Female,HR,N,2020-06-14,Austin
21.0,58178,1 years,10,Female,Sales,No,2014-07-03,New York
55.0,53373,30 years,6,M,Engineering,Y,2011-05-07,New York
31.0,48321,10 years,4,F,Engineering,N,2023-01-01,Boston
42.0,75601,16 years,9,Female,Sales,,2018-09-19,Austin
46.0,66546,25 years,10,,HR,No,2022-01-27,Austin
47.0,29673,16 years,8,,Marketing,Yes,2014-12-15,New York
42.0,51226,15 years,8,Male,,Yes,2022-08-10,
22.0,34994,1 years,3,F,HR,,2021-10-03,
,37600,8 years,9,,Marketing,Yes,2014-02-12,Boston
22.0,45621,1 years,3,,Sales,No,2011-07-13,Austin
29.0,50624,10 years,8,Male,Engineering,Yes,2015-03-28,Austin
27.0,29128,0 years,2,,Marketing,Yes,2021-10-22,Seattle
31.0,50203,6 years,1,M,,Yes,2021-12-01,Boston
39.0,50891,20 years,9,M,Marketing,N,2011-06-24,
32.0,25000,10 years,6,Female,HR,Y,2014-01-04,Austin
28.0,55407,6 years,4,,Engineering,Y,2022-02-07,
,70004,14 years,10,Female,Engineering,Y,2014-04-19,
40.0,39530,13 years,5,,Sales,Yes,2017-05-11,Boston
61.0,88244,40 years,7,Female,Marketing,Yes,2018-07-15,Austin
44.0,51520,23 years,1,F,Sales,No,2015-09-15,Seattle
30.0,64660,8 years,1,Male,Sales,Yes,2016-10-12,Boston
35.0,75224,12 years,4,Female,,No,,Seattle
32.0,39079,9 years,3,F,Engineering,Yes,2017-03-31,Boston
56.0,59434,39 years,5,M,Marketing,Y,2012-02-14,
32.0,26510,7 years,7,Female,HR,No,2018-12-19,New York
27.0,25032,2 years,2,F,Sales,Y,2014-06-05,Boston
36.0,50514,9 years,7,,Sales,N,2010-06-10,
41.0,59430,19 years,9,,Sales,,,Seattle
53.0,73069,36 years,4,M,Engineering,Y,2018-05-17,New York
46.0,50701,26 years,9,M,HR,No,2018-12-15,New York
